,2022-12-31BAC,2021-12-31BAC,2020-12-31BAC
Basic EPS,-0.17066070692501467,-0.1510854167991355,-0.23741746555942314
Basic EPS,-0.17066070692501467,-0.1510854167991355,-0.23741746555942314
Net Income Common Stockholders,2.9081348909663145,3.4801468023601085,1.7064313113715148
Net Income Common Stockholders,2.9081348909663145,3.4801468023601085,1.7064313113715148
Total Liabilities Net Minority Interest,11.289901229541444,11.794127886507416,10.327304092848154
Net Income Including Noncontrolling Interests,3.066947466499988,3.622887979799085,1.863367487820549
Net Income Including Noncontrolling Interests,3.066947466499988,3.622887979799085,1.863367487820549
Net Income From Continuing Operation Net Minority Interest,3.0943125013836,3.6535933411930723,1.8835009034679915
Net Income From Continuing Operation Net Minority Interest,3.0943125013836,3.6535933411930723,1.8835009034679915
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,7.6980746494747985,7.603812449605604,7.689855684107731
Share Issued,4.457898852709676,4.508306085891827,4.8646443380074516
Invested Capital,8.57206023441298,8.597249444609089,8.28847365066617
Net Tangible Assets,6.781100360153231,6.6742714558327885,6.774208172777719
Normalized Income,3.150114227902835,3.7239652978706292,1.9077589002467163
Normalized Income,3.150114227902835,3.7239652978706292,1.9077589002467163
Basic Average Shares,5.096490543178752,5.35750250037021,5.53620905377922
Basic Average Shares,5.096490543178752,5.35750250037021,5.53620905377922
Operating Revenue,1.1755926538815826,1.0720793593004199,1.008503008251342
Operating Revenue,1.1755926538815826,1.0720793593004199,1.008503008251342
Common Stock,6.015304968814027,6.38110510524225,8.885322933260602
Stockholders Equity,7.807939951385882,7.712502927908915,7.799618550105393
Total Assets,11.221388102541622,11.6675884680401,10.345955980093764
Net Income Continuous Operations,3.0788712331614194,3.6359404749593094,1.8728476206938078
Net Income Continuous Operations,3.0788712331614194,3.6359404749593094,1.8728476206938078
Pretax Income,2.8655293290972845,3.180157113293895,1.6126683088211902
Pretax Income,2.8655293290972845,3.180157113293895,1.6126683088211902
Diluted EPS,-0.17397439917492766,-0.1538985013873596,-0.24371172833174296
Diluted EPS,-0.17397439917492766,-0.1538985013873596,-0.24371172833174296
Common Stock Equity,7.252831757288308,7.2705716683199695,7.367727883575807
Net Income From Continuing And Discontinued Operation,3.0824715094302344,3.6406434132944065,1.8740606955364287
Net Income From Continuing And Discontinued Operation,3.0824715094302344,3.6406434132944065,1.8740606955364287
Total Revenue,1.1756523151946783,1.0721451967628854,1.0085726390143883
Total Revenue,1.1756523151946783,1.0721451967628854,1.0085726390143883
Total Capitalization,8.906795906986654,8.924063869608943,8.677685817254066
Diluted Average Shares,5.067501191124568,5.333129416386633,5.4951972898197425
Diluted Average Shares,5.067501191124568,5.333129416386633,5.4951972898197425
Ordinary Shares Number,4.914630071030044,4.9692917645194346,5.355705600115289
Net Income,3.082470964350659,3.6406432513431413,1.8740593210055858
Net Income,3.082470964350659,3.6406432513431413,1.8740593210055858
Capital Stock,8.437920614771492,8.413604531867568,10.744161559700258
Diluted NI Availto Com Stockholders,2.9082231264328344,3.4802123078361715,1.7065672988347178
Diluted NI Availto Com Stockholders,2.9082231264328344,3.4802123078361715,1.7065672988347178
Tangible Book Value,6.088334707042521,6.108234081293277,6.219749033411765
Tax Rate For Calcs,-1.0933545900647759,-1.797386281626552,-1.8114262982448126
Tax Rate For Calcs,-1.0933545900647759,-1.797386281626552,-1.8114262982448126
