,2023-07-31PANW,2022-07-31PANW,2021-07-31PANW,2020-07-31PANW
Basic EPS,-0.25900047774949503,-0.37695414902081825,-0.41861438185281746,-0.3779580100529146
Basic EPS,-0.25900047774949503,-0.37695414902081825,-0.41861438185281746,-0.3779580100529146
Net Income Common Stockholders,-0.31277577338192325,-0.40177639376545343,-0.4309814933366161,-0.40177639376545343
Net Income Common Stockholders,-0.31277577338192325,-0.40177639376545343,-0.4309814933366161,-0.40177639376545343
Total Liabilities Net Minority Interest,-0.21021962808544564,-0.2131684460123458,-0.22383758615231905,-0.23013527317600765
Net Income Including Noncontrolling Interests,-0.31720610797190774,-0.40549445870190143,-0.43446583061966787,-0.40549445870190143
Net Income Including Noncontrolling Interests,-0.31720610797190774,-0.40549445870190143,-0.43446583061966787,-0.40549445870190143
Net Income From Continuing Operation Net Minority Interest,-0.3101745037873967,-0.3989933283926448,-0.4281387726065362,-0.3989933283926448
Net Income From Continuing Operation Net Minority Interest,-0.3101745037873967,-0.3989933283926448,-0.4281387726065362,-0.3989933283926448
Tax Effect Of Unusual Items,0.13099457670638098,0.13702604358333248,0.13186969548029517,0.13088392304883215
Tax Effect Of Unusual Items,0.13099457670638098,0.13702604358333248,0.13186969548029517,0.13088392304883215
Total Equity Gross Minority Interest,-0.47418411367217594,-0.5204993382901159,-0.5038326011941126,-0.4936507180910267
Share Issued,-0.32357023695631415,-0.3294782927104681,-0.33376940688980095,-0.3356351087069022
Invested Capital,-0.47832150015706415,-0.4758774479920652,-0.4741671106022634,-0.47090116478885774
Net Tangible Assets,-0.23626551557349168,-0.2850021514506303,-0.26872362374341746,-0.22178168616307067
Normalized Income,-0.3422749860318314,-0.43438161613678977,-0.4635946332123458,-0.4335675213492152
Normalized Income,-0.3422749860318314,-0.43438161613678977,-0.4635946332123458,-0.4335675213492152
Basic Average Shares,-0.273988623427891,-0.27921436335058614,-0.283683746179207,-0.282583590406008
Basic Average Shares,-0.273988623427891,-0.27921436335058614,-0.283683746179207,-0.282583590406008
Operating Revenue,-0.38601454757838255,-0.4106860732630345,-0.4327719833317993,-0.44780508592156315
Operating Revenue,-0.38601454757838255,-0.4106860732630345,-0.4327719833317993,-0.44780508592156315
Common Stock,0.07606989451032653,-0.03927660424206217,0.0009136284540430695,-0.004607883039213133
Stockholders Equity,-0.4661726040244994,-0.5130650718996085,-0.4961906112810045,-0.4858818277166767
Total Assets,-0.25045615882634575,-0.2589461293771232,-0.2665464945598436,-0.2709896106273961
Net Income Continuous Operations,-0.3121532033765088,-0.40062080633798497,-0.4296509989611154,-0.40062080633798497
Net Income Continuous Operations,-0.3121532033765088,-0.40062080633798497,-0.4296509989611154,-0.40062080633798497
Pretax Income,-0.31555950847979974,-0.39649219590117596,-0.4234662706487271,-0.39906613786700124
Pretax Income,-0.31555950847979974,-0.39649219590117596,-0.4234662706487271,-0.39906613786700124
Diluted EPS,-0.27488220121244067,-0.39005445694112056,-0.4339044442139665,-0.3911110831404662
Diluted EPS,-0.27488220121244067,-0.39005445694112056,-0.4339044442139665,-0.3911110831404662
Common Stock Equity,-0.47425383429406065,-0.5231625782566197,-0.5055625518280753,-0.4948105125612153
Net Income From Continuing And Discontinued Operation,-0.3152651160627671,-0.403907831671938,-0.43299548661712933,-0.403907831671938
Net Income From Continuing And Discontinued Operation,-0.3152651160627671,-0.403907831671938,-0.43299548661712933,-0.403907831671938
Total Revenue,-0.38586171253941814,-0.410531766190662,-0.43261635849749003,-0.4476485641330272
Total Revenue,-0.38586171253941814,-0.410531766190662,-0.43261635849749003,-0.4476485641330272
Total Capitalization,-0.5085538331503243,-0.5350130300608126,-0.49680164305091157,-0.4666308661265886
Diluted Average Shares,-0.24995592916377354,-0.2816899739827514,-0.2861069181224378,-0.28501967033420733
Diluted Average Shares,-0.24995592916377354,-0.2816899739827514,-0.2861069181224378,-0.28501967033420733
Ordinary Shares Number,-0.27040353047434484,-0.2768102366624192,-0.28146352852533646,-0.28348669890051786
Net Income,-0.31526799334337724,-0.40391076979676765,-0.43299844470767923,-0.40391076979676765
Net Income,-0.31526799334337724,-0.40391076979676765,-0.43299844470767923,-0.40391076979676765
Capital Stock,0.03382394521882647,-0.07443245174237476,-0.03671262641804937,-0.04189474244675457
Diluted NI Availto Com Stockholders,-0.312559548852232,-0.4015566326254021,-0.4307605716759159,-0.4015566326254021
Diluted NI Availto Com Stockholders,-0.312559548852232,-0.4015566326254021,-0.4307605716759159,-0.4015566326254021
Tangible Book Value,-0.23352531500992216,-0.28446486013497707,-0.26745053853097,-0.2183868125557176
Tax Rate For Calcs,0.4365604319829295,0.24701343810091272,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,0.4365604319829295,0.24701343810091272,1.0593576975952699,1.0593576975952699
