,2022-12-31PFE,2021-12-31PFE,2020-12-31PFE
Basic EPS,-0.05120124410554695,-0.13502364028559363,-0.24494642330014585
Basic EPS,-0.05120124410554695,-0.13502364028559363,-0.24494642330014585
Net Income Common Stockholders,3.5827865442768725,2.399847776394463,0.7853183391270832
Net Income Common Stockholders,3.5827865442768725,2.399847776394463,0.7853183391270832
Total Liabilities Net Minority Interest,0.1579617689268373,0.16929377971629284,0.11415990850653089
Net Income Including Noncontrolling Interests,3.551552691463403,2.379455186795509,0.7765974821601341
Net Income Including Noncontrolling Interests,3.551552691463403,2.379455186795509,0.7765974821601341
Net Income From Continuing Operation Net Minority Interest,3.57667651558332,2.4514537383217005,0.4678291327682388
Net Income From Continuing Operation Net Minority Interest,3.57667651558332,2.4514537383217005,0.4678291327682388
Tax Effect Of Unusual Items,-0.9597426785813395,-0.4403332866596985,-0.10964083487503345
Tax Effect Of Unusual Items,-0.9597426785813395,-0.4403332866596985,-0.10964083487503345
Total Equity Gross Minority Interest,2.360835091822047,1.8052571178884393,1.3841028815517515
Share Issued,5.404569671968511,5.37471844289489,5.334916804130063
Invested Capital,1.6311683736182572,1.3594443439466277,1.148364086510676
Net Tangible Assets,-0.15404376736799694,-0.08815855042683571,-0.6852881111141805
Normalized Income,4.1188078465644065,2.812225559693933,0.6583817404199888
Normalized Income,4.1188078465644065,2.812225559693933,0.6583817404199888
Basic Average Shares,3.3735778426133254,3.36876466110558,3.3371351826261093
Basic Average Shares,3.3735778426133254,3.36876466110558,3.3371351826261093
Operating Revenue,1.2710015154280372,0.9333108943188201,0.23038876697368643
Operating Revenue,1.2710015154280372,0.9333108943188201,0.23038876697368643
Common Stock,-0.1939532540925681,-0.19427180283256368,-0.19459035157255922
Stockholders Equity,2.3964077252578506,1.8337224958152394,1.4081117775754137
Total Assets,0.4397110182647238,0.38029444572048454,0.2773684267674114
Net Income Continuous Operations,3.5637092496745044,2.4443130339089465,0.4672805539731995
Net Income Continuous Operations,3.5637092496745044,2.4443130339089465,0.4672805539731995
Pretax Income,3.2589448490770834,2.1688908897287997,0.36137676535352625
Pretax Income,3.2589448490770834,2.1688908897287997,0.36137676535352625
Diluted EPS,-0.05351901244951939,-0.13910573459651998,-0.25216473792650845
Diluted EPS,-0.05351901244951939,-0.13910573459651998,-0.25216473792650845
Common Stock Equity,2.511411342680863,1.9245318486943574,1.4806207774845213
Net Income From Continuing And Discontinued Operation,3.5646316888580722,2.386449960094888,0.7784131494120368
Net Income From Continuing And Discontinued Operation,3.5646316888580722,2.386449960094888,0.7784131494120368
Total Revenue,1.271055484145003,0.9333850114401545,0.2305048241382911
Total Revenue,1.271055484145003,0.9333850114401545,0.2305048241382911
Total Capitalization,1.6557479330634406,1.386959367464695,1.1608075342769608
Diluted Average Shares,3.4131857283450904,3.3961974816539886,3.3445532117130394
Diluted Average Shares,3.4131857283450904,3.3961974816539886,3.3445532117130394
Ordinary Shares Number,3.3090569363090796,3.3117544968093218,3.276011820181117
Net Income,3.56463147473248,2.3864489372672244,0.7784110228304547
Net Income,3.56463147473248,2.3864489372672244,0.7784110228304547
Capital Stock,-0.21960145980035306,-0.21990042803277834,-0.22019939626520366
Diluted NI Availto Com Stockholders,3.5828479711659207,2.399956209624409,0.7854909287809952
Diluted NI Availto Com Stockholders,3.5828479711659207,2.399956209624409,0.7854909287809952
Tangible Book Value,-0.14758712133703128,-0.07872387460188633,-0.7028438544629799
Tax Rate For Calcs,-1.2964406549383651,-1.5672220747698176,-1.8842123438955072
Tax Rate For Calcs,-1.2964406549383651,-1.5672220747698176,-1.8842123438955072
